"year","state","D_pv","R_pv","D_pv_lag1","D_pv_lag2","party","mean_1_wk_poll_support","quarter","GDP_growth_quarterly","unemployment","state_abb","grant_year","total_grant","vep_turnout","turnout_lag1","turnout_lag2","incumbent","incumbent_party","dem_party_incumbent","cons_shift","prec_turns","sc_interact","InitialCOVI"
1988,"Nebraska",39.19103807,60.16282041,28.80982686,26.02273847,"DEM",39.5504214285714,4,5.4,5.33333333333333,"NE",1988,46.78069866,"60.30",59.1,58.4,0,FALSE,0,NA,11,NA,NA
1988,"Nevada",38.6841254,60.04668744,32.41934514,27.35666333,"DEM",33.4048691428571,4,5.4,5.33333333333333,"NV",1988,141.91358291,"46.10",44.8,51.9,0,FALSE,0,NA,11,NA,NA
1988,"New Hampshire",36.33449864,62.49087176,30.94516899,28.3507383,"DEM",32.1024308571429,4,5.4,5.33333333333333,"NH",1988,280.36871698,"57.80",56.6,60.9,0,FALSE,0,NA,11,NA,NA
1988,"New Jersey",42.59814238,56.24010946,39.19754794,38.55799204,"DEM",40.5741972857143,4,5.4,5.33333333333333,"NJ",1988,1046.8440713,"57.10",60.5,58.5,0,FALSE,0,NA,11,NA,NA
1988,"New Mexico",46.89357425,51.850353,39.22643233,36.78482894,"DEM",39.6222117142857,4,5.4,5.33333333333333,"NM",1988,168.3392224,"53.40",54.6,53.2,0,FALSE,0,NA,11,NA,NA
1988,"New York",50.19497561,43.76430362,44.09238689,43.99209992,"DEM",45.8516087142857,4,5.4,5.33333333333333,"NY",1988,1567.8194244,"54.00",57.2,53,0,FALSE,0,NA,11,NA,NA
1988,"North Carolina",41.70631146,57.96829978,37.89196368,47.18285535,"DEM",42.2876812857143,4,5.4,5.33333333333333,"NC",1988,181.69454624,NA,NA,NA,0,FALSE,0,NA,11,NA,NA
1988,"North Dakota",42.97200104,56.03123181,33.79896495,26.2985029,"DEM",37.2386021428571,4,5.4,5.33333333333333,"ND",1988,54.95560496,"66.20",67.2,68,0,FALSE,0,NA,11,NA,NA
1988,"Ohio",44.14684136,55.00175825,40.00319948,40.90981354,"DEM",40.7811621428571,4,5.4,5.33333333333333,"OH",1988,371.08628814,"57.30",60.3,57.3,0,FALSE,0,NA,11,NA,NA
1988,"Oklahoma",41.28165146,57.92879126,30.66714662,34.96766135,"DEM",38.5568551428571,4,5.4,5.33333333333333,"OK",1988,131.53234501,"53.10",55.5,54.2,0,FALSE,0,NA,11,NA,NA
1988,"Oregon",51.2781124,46.61136695,43.73968123,38.66981065,"DEM",48.5561031428571,4,5.4,5.33333333333333,"OR",1988,251.63790327,"62.30",66.4,64.3,0,FALSE,0,NA,11,NA,NA
1988,"Pennsylvania",48.3867405,50.70457962,45.98917667,42.47593062,"DEM",43.9487714285714,4,5.4,5.33333333333333,"PA",1988,590.1380658,NA,NA,NA,0,FALSE,0,NA,11,NA,NA
1988,"Rhode Island",55.63785459,43.93260871,48.01736466,47.68214786,"DEM",46.5826218571429,4,5.4,5.33333333333333,"RI",1988,914.6648268,"57.60",60.6,62.7,0,FALSE,0,NA,11,NA,NA
1988,"South Carolina",37.58119855,61.50481385,35.56517151,48.20896631,"DEM",39.0907447142857,4,5.4,5.33333333333333,"SC",1988,210.21285778,"42.50",43.7,42.4,0,FALSE,0,NA,11,NA,NA
1988,"South Dakota",46.50612957,52.84976245,36.52879978,31.6918063,"DEM",40.6255705714286,4,5.4,5.33333333333333,"SD",1988,43.271578021,NA,NA,NA,0,FALSE,0,NA,11,NA,NA
1988,"Tennessee",41.5458518,57.89048128,41.57224942,48.40771852,"DEM",39.8820327142857,4,5.4,5.33333333333333,"TN",1988,150.77080912,NA,NA,NA,0,FALSE,0,NA,11,NA,NA
1988,"Texas",43.34936922,55.95355796,36.11394829,41.42003014,"DEM",42.4855018571429,4,5.4,5.33333333333333,"TX",1988,151.32038697,NA,NA,NA,0,FALSE,0,NA,11,NA,NA
1988,"Utah",32.04643528,66.21896484,24.67521948,20.56866484,"DEM",31.1841034285714,4,5.4,5.33333333333333,"UT",1988,195.35137434,"63.40",64.3,66.6,0,FALSE,0,NA,11,NA,NA
1988,"Vermont",47.57980997,51.09605142,40.81241127,38.42118341,"DEM",41.6285935714286,4,5.4,5.33333333333333,"VT",1988,181.6290474,"66.70",61.6,59.3,0,FALSE,0,NA,11,NA,NA
1988,"Virginia",39.23140487,59.73519912,37.09293848,40.30874069,"DEM",39.3818002857143,4,5.4,5.33333333333333,"VA",1988,108.46717756,NA,NA,NA,0,FALSE,0,NA,11,NA,NA
1988,"Washington",50.0476879,48.45642924,42.58081721,37.31607203,"DEM",42.8588481428571,4,5.4,5.33333333333333,"WA",1988,412.21537027,"58.60",62.9,60.6,0,FALSE,0,NA,11,NA,NA
1988,"West Virginia",52.19811085,47.46055095,44.59783457,49.81083481,"DEM",43.633639,4,5.4,5.33333333333333,"WV",1988,121.98644928,NA,NA,53.5,0,FALSE,0,NA,11,NA,NA
1988,"Wisconsin",51.41403025,47.79591058,45.02170061,43.18031551,"DEM",44.856712,4,5.4,5.33333333333333,"WI",1988,229.64494506,NA,NA,NA,0,FALSE,0,NA,11,NA,NA
1988,"Wyoming",38.01337857,60.53038499,28.2428771,27.97021159,"DEM",27.7901694285714,4,5.4,5.33333333333333,"WY",1988,98.99248839,"59.20",57.9,55.4,0,FALSE,0,NA,11,NA,NA
1992,"Alabama",40.8800635,47.6454036,39.86329831,38.28078127,"DEM",40.5541474285714,4,4.2,7.36666666666667,"AL",1992,217.80542399,NA,NA,NA,0,FALSE,0,1,14,14,NA
